voter,txn_count,Wallet_Age,Wallet_Age(Erc20),to_count,from_count,erc_to,erc_from,first_date,last_date,first_from,first_to,last_from,last_to
0x4e4a73a52055B8e863090A11583ee85bcF79ecA8,100,275,275,0,100,0,100,1668844428,1678162023,0xacd03d601e5bb1b275bb94076ff46ed9d753435a,0x4e4a73a52055b8e863090a11583ee85bcf79eca8,0x4e4a73a52055b8e863090a11583ee85bcf79eca8,0x7f5c764cbc14f9669b88837ca1490cca17c31607
0x5FfD23B1B0350debB17A2cB668929aC5f76d0E18,84,343,232,0,84,0,26,1663006439,1692422217,0x5ffd23b1b0350debb17a2cb668929ac5f76d0e18,0xfbde997edf41a8631fea6dfd4144b290887c4b4f,0x5ffd23b1b0350debb17a2cb668929ac5f76d0e18,0x15fa08599eb017f89c1712d0fe76138899fdb9db
0x2828b1cD64CE9cD865F6cb8cC1427c5b05d66516,28,268,268,0,28,0,25,1669451694,1692246041,0x2828b1cd64ce9cd865f6cb8cc1427c5b05d66516,0x840b25c87b626a259ca5ac32124fa752f0230a72,0x2828b1cd64ce9cd865f6cb8cc1427c5b05d66516,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b
0x7F8eE72292F3566168F0e5FD9D3b87DbCE00C8cc,100,146,146,0,100,0,17,1680030889,1692138111,0xacd03d601e5bb1b275bb94076ff46ed9d753435a,0x7f8ee72292f3566168f0e5fd9d3b87dbce00c8cc,0x7f8ee72292f3566168f0e5fd9d3b87dbce00c8cc,0x15fa08599eb017f89c1712d0fe76138899fdb9db
0xEE6c21046EBf0250db07d3B136251De3D86DECf5,2,10,0,0,2,0,0,1691754381,1692262013,0xee6c21046ebf0250db07d3b136251de3d86decf5,0x28770db2ac7e4009b0e1aaa57db2abad86a96266,0xee6c21046ebf0250db07d3b136251de3d86decf5,0x15fa08599eb017f89c1712d0fe76138899fdb9db
0x032A7A7E6dD81Ff4aE4A845f229E0Ee54Dd1334B,70,105,105,0,70,0,11,1683567545,1692170539,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0x032a7a7e6dd81ff4ae4a845f229e0ee54dd1334b,0x032a7a7e6dd81ff4ae4a845f229e0ee54dd1334b,0xe6266a11f1c10d6ccdcf96b31508c3dc3f541890
0xA94B50b51bf332CE5D19c4D2e7085C57d2dB2D53,27,473,177,0,27,0,16,1651739843,1692243387,0xa94b50b51bf332ce5d19c4d2e7085c57d2db2d53,0xe69619a71cdd7696b34c52a5c1709c8a811faab8,0xa94b50b51bf332ce5d19c4d2e7085c57d2db2d53,0x15fa08599eb017f89c1712d0fe76138899fdb9db
0x631ab8EB40588543dF900263F864b6376d56A587,100,605,605,0,100,0,100,1640356494,1657910145,0x631ab8eb40588543df900263f864b6376d56a587,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x631ab8eb40588543df900263f864b6376d56a587,0x4200000000000000000000000000000000000042
0xEd2b9e79d07F4c602c6cC3D269E6027C558430f2,55,200,200,0,55,0,19,1675307439,1692414687,0xed2b9e79d07f4c602c6cc3d269e6027c558430f2,0x4200000000000000000000000000000000000042,0xed2b9e79d07f4c602c6cc3d269e6027c558430f2,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b
0xD3F0E22b41Afe1aC157A4C5aAfbB256bB00D3a24,11,50,50,0,11,0,7,1688303653,1692182899,0xd3f0e22b41afe1ac157a4c5aafbb256bb00d3a24,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xd3f0e22b41afe1ac157a4c5aafbb256bb00d3a24,0x15fa08599eb017f89c1712d0fe76138899fdb9db
